"Timestamp,""1) What best describes your research topic? "",""2) Please rate the image retrieval process from multimedia stimuli databases such as IAPS, NAPS, GAPED, OASIS, KDEF, POFA, JAFFE, and IADS, ...?"",""3) How satisfied are you with the above mentioned level of difficulty in the image retrieval process from the database?"",""4) How much time was necessary to effectively search the database and construct one picture sequence that was used in your research?"",""5) On a scale of 1 to 5, with one being very inadequate and 5 being very adequate, please rate the quality of the documentation (guide instructions and support)?"",""6) Have you at any time felt that the picture set you were using is missing images with a particular emotion that would be useful for your stimuli sequence?"",""7) Have you at any time felt that the picture set you were using is missing images with semantic content that would be useful for your stimuli sequence? "",""8) Have you felt that the picture set you were using addressed the cultural values in your target group? "",""9) On a scale of 1 to 5, with one being very insufficient and 5 being very sufficient, please rate the diversity of semantic and emotional content in the picture sets you used."",""10) On a scale of 1 to 5, with one being very inadequate and 5 being very adequate, please rate how inadequate (insufficient) did you find the predefined semantic descriptors (e.g. keywords or tags) of the images you used?"",""11) On a scale 1 to 5, with one being extremely useless and 5 being extremely useful, please rate how helpful would a user-friendly software tool for intelligent retrieval of emotionally-annotated images be to your research?"",""12) Have you at any time during your research wanted to find the most appropriate emotionally-annotate image faster and more efficiently?"",""13) Can you give a rough indication of the duration in minutes of one of your test sessions (the period in which one participant is tested continuously)? "",""14) Did you construct the sequence manually or with a help of a software tool?"",""15) Which software tool did you use (if any)? ";
;
"Skip this question if you did not use a software tool for retrieval of multimedia stimuli."",""16) Did your group actually develop the tool used in your experiment or acquired it elsewhere?  ";
;
"Skip this question if you did not use a software tool for retrieval of multimedia stimuli."",""17) How useful or useless a stimuli database with realistic and immersive Virtual Reality (VR) images instead of just still ones, would be to your work?"",""18) Please list the names of multimedia stimuli databases you have used in your research (e.g. IAPS, NAPS, GAPED, OASIS, KDEF, POFA, JAFFE, IADS, ...) :"",""19) Do you wish anything to add that was not covered in the survey?""";
"2022/12/07 4:49:47 PM CET,""affective sciences"",""(3) Neither difficult nor easy"",""(3) Neither satisfied nor dissatisfied"",""6-12 hrs"",""(4) Adequate"",""Yes"",""Yes"",""Not Applicable / Prefer Not to Answer"",""(2) insufficient"",""(3) Neither adequate nor inadequate"",""(4) Useful"",""Yes"",""30"",""With a software tool"",""presentations neurobehavioral systems, psychopy"",""The tool was acquired"",""(3) Neither useful nor useless"",""IAPS, GAPED, mixed emotions film clip stimuli (Kreibig et al., 2016)... "",""""";
"2022/12/07 10:19:10 PM CET,""Psychology of Language"",""(3) Neither difficult nor easy"",""(4) Satisfied"",""1-2 hrs"",""(4) Adequate"",""No"",""No"",""Yes"",""(4) sufficient"",""(3) Neither adequate nor inadequate"",""(5) Very useful"",""No"",""30"",""Manually"","""","""",""(3) Neither useful nor useless"",""IAPS and OASIS"",""""";
"2022/12/08 9:33:36 AM CET,""Neuropsychology "",""(4) Easy"",""(4) Satisfied"",""30-60 mins"",""(4) Adequate"",""Yes"",""Yes"",""Yes"",""(2) insufficient"",""(4) Adequate"",""(5) Very useful"",""Yes"",""60"",""With a software tool"",""Eprime "",""The tool is own development"",""(5) Very useful"",""IAPS "",""No""";
"2022/12/08 1:35:43 PM CET,""research on anxiety disorders and emotion"",""(3) Neither difficult nor easy"",""(3) Neither satisfied nor dissatisfied"",""1-2 hrs"",""(4) Adequate"",""Yes"",""Not Applicable / Prefer Not to Answer"",""Yes"",""(4) sufficient"",""Not Applicable / Prefer Not to Answer"",""(4) Useful"",""Yes"",""30"",""With a software tool"",""Presentation"",""The tool was acquired"",""(4) Useful"",""NAPS, GAPED, IAPS"",""Nice idea - Good luck with the project!""";
"2022/12/09 9:48:11 AM CET,""Creativity"",""(5) Very easy"",""(5) Very satisfied"",""1-2 hrs"",""(5) Very adequate"",""Yes"",""Yes"",""No"",""(4) sufficient"",""(5) Very adequate"",""(5) Very useful"",""Yes"",""30"",""Both"",""PicRotataor 1.0 and 2.0"",""The tool is own development"",""Not Applicable / Prefer Not to Answer"",""IAPS, NAPS"",""""";
